,Diam,StartNode,EndNode,Length
420,13.34,55,66,79.38381536634438
421,48.450001,319,320,66.48814625078744
422,9.58,84,220,313.9699867964391
423,32.810001,252,251,84.01026110460708
424,32.77,250,246,168.6376360990919
425,12.61,74,75,67.08979576397988
426,8.46,113,269,491.076496810136
427,14.27,385,213,51.33894012644297
428,44.869999,327,387,462.79598098654543
429,39.860001,251,250,621.7597547707246
430,11.11,147,266,306.075869023323
431,14.71,349,322,156.0180763102719
432,44.400002,328,327,226.3701060115095
433,7.67,57,58,282.46252904945175
434,14.74,56,57,391.25786313588947
435,10.84,172,337,529.7980076610079
436,11.35,164,385,374.9103644921925
437,33.119999,171,330,320.3199703632821
438,39.810001,170,328,258.0974289417015
439,9.09,160,386,306.33800620759405
440,8.46,57,227,410.89545450477044
441,16.110001,37,38,436.2677392743765
442,7.75,352,351,101.6172051492188
443,51.189999,326,325,455.20261424931937
444,48.299999,387,326,105.60388623482487
445,14.81,38,39,597.5167640463837
446,17.65,276,275,259.23019478530165
447,18.190001,268,256,146.22526530747265
448,11.09,54,55,133.83960707533646
449,15.68,102,103,762.1010636987756
450,9.96,60,61,217.08075616312738
451,18.610001,269,268,150.60042395983476
452,16.389999,270,269,167.71708036206604
453,7.24,48,311,292.36889336801056
454,6.56,21,335,94.87903412171022
455,6.59,44,312,154.62750397292848
456,10.09,43,44,177.56700186952682
457,7.35,24,352,237.56482451955873
458,7.24,44,313,60.87851278143862
459,37.18,329,387,649.1173192728634
460,14.72,10,11,100.8715286968962
461,37.330002,330,329,128.28130275468186
462,15.39,73,74,247.70635775900362
463,18.74,235,234,297.99141597409374
464,9.96,105,106,405.6881238457602
465,11.62,145,380,362.5630762843691
466,11.13,75,76,541.717785327205
467,11.72,66,67,335.3978011833681
468,12.43,55,56,427.389657269661
469,12.88,39,40,537.5238128747264
470,10.44,68,69,408.3328641664971
471,8.08,351,349,229.15318915103148
472,6.33,112,113,103.280349156765
473,14.56,74,80,214.1574088903783
474,14.5,103,104,730.0832623471002
475,8.48,225,224,94.36371108921024
476,8.4,86,89,194.38988654081768
477,6.79,125,295,70.30458228491818
478,10.89,271,270,77.67216663712134
479,9.45,78,251,370.96160686212613
480,11.55,76,77,632.5094860318442
481,16.82,254,253,219.629976431701
482,8.91,59,303,453.97930763462904
483,14.37,11,12,254.83684300199158
484,7.17,111,112,70.38417288652786
485,16.139999,236,235,348.6718899636459
486,10.6,384,332,73.75153094812737
487,12.8,40,41,67.60270823489522
488,13.56,104,105,133.1627326210514
489,16.76,80,81,225.82929580968107
490,6.39,61,62,71.05989816436463
491,8.64,58,59,108.2677887006659
492,7.67,56,206,340.1040016536181
493,12.68,106,271,247.2057391018256
494,8.85,69,70,121.80248793783201
495,11.36,335,334,142.54361950271124
496,8.08,113,114,248.9954036379703
497,15.15,12,13,38.26315796698732
498,7.82,67,68,37.7815377380846
499,9.84,348,384,167.57318212716353
500,9.85,59,60,131.73656980321243
501,6.05,112,116,101.34934903741693
502,17.709999,81,82,272.0322039876615
504,9.54,310,309,63.21314588108527
505,10.34,224,211,72.0336330902161
506,10.39,105,109,276.92493370699486
507,11.35,237,236,33.92938722711603
508,12.84,336,335,112.25266032122451
509,5.84,17,22,138.01536719708912
510,14.84,13,14,130.20871397825056
511,19.49,323,319,57.837388026107575
512,18.049999,272,252,214.76643265966402
513,7.85,16,348,345.5757689683163
514,12.56,41,46,349.69268866873193
515,9.09,89,224,466.64290722323835
516,12.98,15,23,83.72142219221817
517,12.03,239,238,56.681754681546764
518,17.73,238,237,489.6858852867923
519,7.24,70,226,131.82752350867315
520,12.31,71,238,175.5337126878631
521,8.98,68,71,289.4177009593656
522,8.4,71,225,513.214170426274
523,12.35,82,83,329.410794839009
524,11.98,14,15,381.2206666821693
525,14.37,109,276,459.2888535509022
526,12.1,15,16,193.31795945426776
527,10.71,23,340,431.60943911403024
528,11.38,62,63,84.27682085989889
529,10.7,114,273,175.4069448905678
530,11.52,16,17,552.8676323611247
531,11.83,273,272,86.71202277674041
532,6.2,60,64,37.25000566123271
533,6.06,19,20,83.41815223529098
534,10.35,116,273,247.60928302649162
535,14.66,46,323,426.5992854231804
536,14.66,83,239,652.2463356158431
538,12.43,17,18,241.6825228933132
539,7.14,63,310,80.61305910607328
540,12.18,18,19,123.16260204906871
541,9.12,19,331,171.5364021696303
542,12.99,331,330,321.6121278960676
543,11.11,20,331,112.17172114069643
544,8.0,64,65,93.75451790024223
545,9.77,65,229,207.38845741002035
18,10.89,129,390,50.935228764419946
31,4.31,35,392,57.47534205269406
199,7.35,158,391,110.42219052026589
239,6.31,155,394,36.39350870769217
243,6.36,33,389,36.393541993862215
503,10.97,77,393,101.60307369671041
537,11.11,22,388,78.6519167430052
18,10.89,390,284,186.46220613530534
31,4.31,392,355,269.9720802918822
199,7.35,391,373,73.42633930390113
239,6.31,394,300,89.50578688315139
243,6.36,389,364,311.4601747667488
503,10.97,393,254,182.622102515678
537,11.11,388,336,78.6519167430052
